,Price,Demand,Demand_pump_storage,Imported_FR,Imported_NL,Imported_LU,Imported_GB,Exported_FR,Exported_NL,Exported_LU,Exported_GB,Wind Onshore,Fossil Gas,Other,Solar,Biomass,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Hydro Water Reservoir,Hydro Run-of-river and poundage,Hydro Pumped Storage,Fossil Oil,Other renewable,Fossil Coal-derived gas,Geothermal,Waste,Fossil Peat,Marine,Fossil Oil shale,Wind Offshore,Balance,Residual_Demand,hour
1,66.58,8542.43,0.0,0.0,2489.99,37.07,0.0,324.29,0.0,1.57,0.01,304.75,1637.26,672.83,0.0,159.42,2376.08,0,0.0,0,39.37,346.52,0.0,0,0,0,257.96,0,0,0,500.06,-46.9900000000016,7440.29,1
2,65.07,8077.39,0.0,0.0,2014.75,24.18,0.0,189.97,0.0,0.0,0.02,291.61,1586.76,630.65,0.0,159.14,2383.33,0,0.0,0,40.32,297.89,0.0,0,0,0,258.71,0,0,0,554.06,-25.979999999999563,6932.6900000000005,2
3,52.17,7823.3325,197.45,0.0,1968.32,64.96,0.0,7.93,0.0,0.0,0.01,343.37,1598.14,619.39,0.0,161.94,2412.95,0,0.0,0,38.74,0.0,0.0,0,0,0,254.64,0,0,0,510.95,-55.32250000000113,6675.632500000001,3
4,47.66,7636.245000000001,477.61,0.0,2287.69,88.04,0.0,291.37,0.0,0.0,0.01,391.99,1534.57,618.55,0.0,164.79,2415.98,0,0.0,0,36.55,0.0,0.0,0,0,0,253.8,0,0,0,608.7,-4.575000000000728,6345.205000000001,4
5,50.87,7616.6775,249.73,0.0,2511.9,88.0,0.0,874.71,0.0,0.0,0.01,371.06,1566.26,633.35,0.0,167.71,2437.55,0,0.0,0,34.15,0.0,0.0,0,0,0,259.26,0,0,0,639.73,-32.157499999999345,6312.477499999999,5
6,52.88,7715.7575,209.12,0.0,2574.04,68.3,0.0,1004.97,0.0,0.0,0.01,411.74,1500.56,651.92,0.0,165.21,2450.57,0,0.0,0,34.72,0.0,0.0,0,0,0,261.77,0,0,0,801.62,-9.407499999999345,6205.907499999999,6
7,61.78,7710.765,36.11,0.0,2464.24,57.72,0.0,1334.14,0.0,0.0,0.01,442.81,1601.85,666.61,0.0,164.89,2448.75,0,0.0,0,35.19,0.0,0.0,0,0,0,280.19,0,0,0,875.09,-43.68499999999949,6077.485000000001,7
8,50.08,7723.407500000001,13.86,0.0,2630.39,94.43,0.0,1490.95,0.0,0.0,0.01,364.43,1651.53,664.79,0.0,163.48,2449.23,0,0.0,0,35.03,0.0,0.0,0,0,0,292.48,0,0,0,792.24,-90.19750000000204,6239.227500000002,8
9,50.27,7819.9524999999985,0.0,0.0,2381.22,88.53,0.0,1170.09,0.0,0.0,0.01,397.54,1676.87,679.24,12.56,162.6,2452.08,0,0.0,0,35.21,102.64,0.0,0,0,0,288.51,0,0,0,677.96,-35.092499999998836,6408.172499999998,9
10,66.36,8195.73,0.0,0.0,2380.52,76.59,0.0,1041.77,0.0,0.0,0.01,422.05,1611.87,689.89,65.97,166.63,2463.54,0,0.0,0,36.72,193.86,0.0,0,0,0,286.43,0,0,0,819.25,-24.19000000000051,6565.309999999999,10
11,75.08,8631.3975,0.0,0.0,2426.81,84.3,0.0,1194.23,0.0,0.0,0.02,451.23,1697.87,691.89,125.99,165.4,2493.5,0,0.0,0,37.54,584.08,0.0,0,0,0,287.2,0,0,0,678.35,-101.48749999999927,7051.0875,11
12,90.66,8740.307499999999,0.0,0.0,2215.44,75.26,0.0,1089.64,0.0,0.0,0.01,504.14,1721.01,715.31,120.76,168.19,2532.24,0,0.0,0,37.58,653.08,0.0,0,0,0,286.95,0,0,0,815.0,15.00250000000051,6975.8775,12
13,75.71,8954.4625,0.0,0.0,2265.45,124.97,0.0,892.43,0.0,0.0,0.01,488.71,1918.92,715.23,89.6,168.86,2567.21,0,0.0,0,37.36,270.42,0.0,0,0,0,285.89,0,0,0,773.97,-140.3125,7278.9325,13
14,68.3,8785.837500000001,0.0,0.0,2096.21,127.99,0.0,663.81,0.0,0.0,0.01,418.71,1865.11,770.39,70.04,155.52,2570.38,0,0.0,0,37.73,395.66,0.0,0,0,0,289.36,0,0,0,593.53,-59.027500000000146,7376.4675000000025,14
15,61.83,8702.75,0.0,0.0,2006.07,133.67,0.0,557.33,0.0,0.0,0.01,429.94,2014.95,791.92,54.12,156.41,2573.38,0,0.0,0,38.4,64.67,0.0,0,0,0,288.83,0,0,0,664.21,-43.52000000000044,7227.249999999999,15
16,72.12,8584.695,73.88,0.0,1949.98,111.87,0.0,644.02,0.0,0.0,0.01,457.73,2011.37,763.14,9.12,153.43,2577.49,0,0.0,0,38.24,4.96,0.0,0,0,0,284.63,0,0,0,941.59,0.944999999999709,6853.385,16
17,62.58,9145.4575,61.7,0.0,2034.27,89.25,0.0,279.05,0.0,0.0,0.01,571.81,2107.45,699.32,0.0,153.28,2573.36,0,0.0,0,37.12,0.0,0.0,0,0,0,284.67,0,0,0,864.66,-71.02750000000196,7387.1975,17
