,Price,Demand,Demand_pump_storage,Imported_AT,Imported_IT,Imported_FR,Imported_DE,Exported_AT,Exported_IT,Exported_FR,Exported_DE,Wind Onshore,Fossil Gas,Other,Solar,Biomass,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Hydro Water Reservoir,Hydro Run-of-river and poundage,Hydro Pumped Storage,Fossil Oil,Other renewable,Fossil Coal-derived gas,Geothermal,Waste,Fossil Peat,Marine,Fossil Oil shale,Wind Offshore,Balance,Residual_Demand,hour
1,48.74,6545.98,0,497.02,0.0,0.0,3535.73,0.0,1162.0,233.0,7.07,0.17,0,0,0.0,0,3243.1,0,0,393.0,123.58,76.18,0,0,0,0,0,0,0,0,0,-79.26999999999862,6422.23,1
2,47.24,6699.34,0,427.09,0.0,0.0,3676.85,0.0,931.0,280.0,5.98,0.36,0,0,0.0,0,3245.2,0,0,345.2,126.45,30.85,0,0,0,0,0,0,0,0,0,-64.32000000000062,6572.530000000001,2
3,36.29,6911.95,0,452.27,0.0,115.0,3713.58,0.0,1303.0,0.0,0.0,0.57,0,0,0.0,0,3244.7,0,0,312.05,134.68,18.38,0,0,0,0,0,0,0,0,0,-223.72000000000116,6776.7,3
4,30.09,6840.4,0,603.27,0.0,0.0,3427.29,0.0,1225.0,56.0,0.0,1.77,0,0,0.0,0,3244.8,0,0,338.73,134.9,12.55,0,0,0,0,0,0,0,0,0,-358.08999999999924,6703.73,4
5,27.31,6719.15,0,554.58,0.0,0.0,3728.94,0.0,1338.0,15.0,0.0,1.2,0,0,0.01,0,3242.8,0,0,276.98,124.08,25.48,0,0,0,0,0,0,0,0,0,-118.07999999999993,6593.86,5
6,28.53,6713.51,0,690.11,0.0,71.0,4024.48,0.0,1856.0,0.0,0.0,1.0,0,0,0.0,0,3242.7,0,0,301.75,121.33,27.8,0,0,0,0,0,0,0,0,0,-89.34000000000015,6591.18,6
7,26.84,6728.43,0,781.96,0.0,11.0,4251.47,0.0,2180.0,0.0,0.0,0.74,0,0,0.01,0,3242.0,0,0,286.65,126.95,27.2,0,0,0,0,0,0,0,0,0,-180.45000000000073,6600.7300000000005,7
8,28.7,6673.48,0,759.38,0.0,57.0,4408.28,0.0,2431.0,0.0,0.0,0.58,0,0,1.09,0,3253.2,0,0,307.33,126.83,48.25,0,0,0,0,0,0,0,0,0,-142.53999999999905,6544.98,8
9,35.7,6693.42,0,803.41,0.0,461.0,4322.43,0.0,2623.0,0.0,0.0,0.63,0,0,13.03,0,3247.2,0,0,323.7,117.78,58.45,0,0,0,0,0,0,0,0,0,31.210000000000946,6561.9800000000005,9
10,37.53,6839.82,0,800.5,0.0,164.0,4365.28,0.0,2417.0,0.0,0.0,0.54,0,0,27.41,0,3246.5,0,0,318.85,122.58,34.3,0,0,0,0,0,0,0,0,0,-176.86000000000058,6689.29,10
