,Price,Demand,Demand_pump_storage,Imported_AT,Imported_CZ,Imported_LU,Imported_PL,Imported_NL,Imported_CH,Imported_FR,Imported_DK,Imported_SE,Exported_AT,Exported_CZ,Exported_LU,Exported_PL,Exported_NL,Exported_CH,Exported_FR,Exported_DK,Exported_SE,Wind Onshore,Fossil Gas,Other,Solar,Biomass,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Hydro Water Reservoir,Hydro Run-of-river and poundage,Hydro Pumped Storage,Fossil Oil,Other renewable,Fossil Coal-derived gas,Geothermal,Waste,Fossil Peat,Marine,Fossil Oil shale,Wind Offshore,Balance,Residual_Demand,hour
1,10.07,41561.7775,1506.635,0.0,448.81,0.0,0.0,0.0,7.07,0.0,485.95,0.0,2670.09,1642.58,405.48,1095.53,1578.98,3535.73,625.12,1044.09,1.6,22036.4875,2967.2875,343.8075,0.0,4904.22,8535.645,5379.3975,2404.26,74.5225,1479.1875,115.97750000000002,481.44,106.82,0,2.55,495.7025,0,0,0,2868.0675,-2530.409999999996,14575.512499999997,1
2,-4.08,40100.0775,1224.1625,0.0,225.47,0.0,0.0,0.0,5.98,18.43,63.02,0.0,2629.97,1587.61,374.16,1111.8,1398.57,3676.85,405.63,1506.44,68.3,22748.045,2720.42,279.585,0.0,4866.549999999998,7954.004999999999,5341.015,2228.4500000000007,97.145,1413.71,87.72999999999998,484.235,106.82,0,2.55,499.9725,0,0,0,2459.62,-2480.8174999999974,12871.910000000003,2
3,-9.91,38883.3125,1623.6175,12.36,104.43,0.0,0.0,0.0,0.0,189.14,0.0,0.0,2725.76,1546.77,392.2,1089.76,1627.42,3713.58,364.85,1433.8,65.6,23870.4675,2653.1725,275.88500000000005,0.0,4865.645,7221.5625,5270.4225000000015,2356.94,78.085,1416.75,1.0,487.1275,106.82,0,2.55,490.6175,0,0,0,2697.725,-1365.9700000000012,10300.9325,3
4,-7.41,38805.81750000001,2877.8725,0.01,107.84,0.0,0.0,0.0,0.0,70.54,0.0,0.0,2761.39,1610.77,392.52,881.4,1903.86,3427.29,776.86,1532.64,65.6,25921.6775,2706.08,273.9075,0.0,4867.3175,7120.252500000001,5178.8725,2308.5825,64.665,1393.0425,1.02,491.24,106.82,0,2.55,495.0925,0,0,0,2578.4125,-1348.0975000000108,8310.77250000001,4
5,-12.55,38592.98,3802.21,2.78,135.54,0.0,0.0,0.0,0.0,6.62,0.0,0.0,2842.95,1668.33,414.55,969.6,1700.33,3728.94,1095.22,1727.8,65.6,27428.755,2719.79,273.71000000000004,0.0,4859.665,7060.565,5076.6325,2311.175,38.7,1346.375,3.025,491.41,106.82,0,2.55,501.6025,0,0,0,2379.085,-1863.7099999999991,6830.342500000002,5
6,-17.25,38139.8975,4446.225,0.1,129.71,0.0,0.0,0.0,0.0,0.05,0.0,0.0,3035.19,1544.32,353.68,950.64,1737.45,4024.48,1192.21,1684.69,65.4,29086.1675,2714.2725,273.39750000000004,0.0,4868.205,7035.089999999998,5072.285000000002,2158.795,61.0525,1355.1925,0.0,491.0475,106.82,0,2.55,499.875,0,0,0,1930.055,-1389.5175000000017,5161.787499999999,6
7,-15.07,38741.9625,4575.5075000000015,0.1,153.48,0.0,0.0,0.0,0.0,0.22,0.0,0.0,3142.17,1552.78,348.36,971.44,1595.38,4251.47,1295.87,1737.61,65.6,29905.365,2819.4825,273.4825,0.0025,4881.2425,7173.015,5038.2825,2182.3975,73.0175,1359.4325,0.0,490.7725,106.82,0,2.55,498.2675,0,0,0,2044.6475,-1275.5724999999948,4827.4275,7
8,-4.93,39255.5325,4223.275,3.62,177.16,0.0,0.0,0.0,0.0,3.33,0.0,0.0,3160.84,1516.79,389.38,933.05,1866.98,4408.28,1311.93,1796.28,65.6,30439.5025,2857.9325,273.02250000000004,84.1325,4901.04,7155.325,4918.7325,2267.7225,84.1275,1361.8375,0.0,490.285,106.82,0,2.55,488.9500000000001,0,0,0,2207.9425,-1103.905000000006,4566.347500000003,8
9,-6.33,42017.5925,4079.88,10.47,244.39,0.0,0.0,0.0,0.0,122.35,0.0,0.0,3335.39,1440.03,381.38,1062.92,1544.9,4322.43,1041.24,1755.88,65.6,30199.69,2864.57,273.0,582.75,4900.8425,6989.845,4928.1825,2642.11,118.0475,1364.865,0.0,489.9,106.82,0,2.55,498.4975,0,0,0,2074.9325,-2633.429999999993,7190.037500000001,9
10,-4.93,44532.8075,2770.115,0.89,218.9,0.0,0.0,0.0,0.0,0.35,0.0,0.0,3433.31,1426.88,384.69,990.23,1644.62,4365.28,1038.83,1752.3,65.6,31311.22,2883.615,272.7875,1368.5649999999996,4908.6375,6640.032499999998,4949.17,2696.4075000000007,171.34,1364.0475,0.0,490.3775,106.82,0,2.55,497.4825,0,0,0,2155.1525,-2366.3175000000047,7729.520000000002,10
