,Price,Demand,Demand_pump_storage,Imported_IT,Imported_CH,Imported_DE,Imported_BE,Imported_ES,Imported_GB,Exported_IT,Exported_CH,Exported_DE,Exported_BE,Exported_ES,Exported_GB,Wind Onshore,Fossil Gas,Other,Solar,Biomass,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Hydro Water Reservoir,Hydro Run-of-river and poundage,Hydro Pumped Storage,Fossil Oil,Other renewable,Fossil Coal-derived gas,Geothermal,Waste,Fossil Peat,Marine,Fossil Oil shale,Wind Offshore,Balance,Residual_Demand,hour
1,46.27,60301.0,1536.0,256.0,233.0,625.12,324.29,0.0,0.0,0.0,0.0,0.0,0.0,2406.7,1567.0,1637.0,2526.0,0,0.0,352.0,55113.0,0,0.0,740.0,3344.0,0.0,215.0,0,0,0,252.0,0,0,0,0,-193.2899999999936,55068.0,1
2,39.78,58540.0,2372.0,505.0,280.0,405.63,189.97,0.0,0.0,0.0,0.0,18.43,0.0,2408.34,1517.0,1567.0,2425.0,0,0.0,352.0,54780.0,0,0.0,463.0,3202.0,0.0,214.0,0,0,0,253.0,0,0,0,0,-219.16999999999825,53518.0,2
3,27.87,55144.0,2667.0,167.0,0.0,364.85,7.93,0.0,0.0,0.0,115.0,189.14,0.0,2393.2,1518.0,1556.0,2435.0,0,0.0,351.0,53162.0,0,0.0,145.0,3086.0,0.0,215.0,0,0,0,254.0,0,0,0,0,-282.5599999999977,50248.0,3
4,23.21,52978.0,2885.0,298.0,56.0,776.86,291.37,0.0,0.0,0.0,0.0,70.54,0.0,2433.79,1413.0,1595.0,2440.0,0,0.0,353.0,50137.0,0,0.0,97.0,3009.0,0.0,215.0,0,0,0,255.0,0,0,0,0,-257.09999999999854,48119.0,4
5,22.64,52584.0,3043.0,338.0,15.0,1095.22,874.71,0.0,0.0,0.0,0.0,6.62,0.0,2428.93,967.0,1719.0,2434.0,0,0.0,353.0,48465.0,0,0.0,119.0,2881.0,0.0,215.0,0,0,0,254.0,0,0,0,0,-266.6200000000026,47730.0,5
6,20.9,52881.0,2956.0,88.0,0.0,1192.21,1004.97,0.0,0.0,0.0,71.0,0.05,0.0,2420.09,565.0,1794.0,2436.0,0,0.0,352.0,48269.0,0,0.0,159.0,2856.0,0.0,215.0,0,0,0,253.0,0,0,0,0,-273.9599999999991,47978.0,6
7,26.54,53173.0,2818.0,0.0,0.0,1295.87,1334.14,0.0,0.0,183.0,11.0,0.22,0.0,2521.95,519.0,1780.0,2771.0,0,0.0,353.0,47783.0,0,0.029411764705882353,103.0,3093.0,0.0,213.0,0,0,0,251.0,0,0,0,0,-249.1305882352899,48049.0,7
8,25.0,52929.0,2775.0,0.0,0.0,1311.93,1490.95,0.0,0.0,520.0,57.0,3.33,0.0,2416.16,1657.0,1730.0,2820.0,0,132.0,352.0,48379.0,0,0.058823529411764705,240.0,3247.0,0.0,214.0,0,0,0,251.0,0,0,0,0,-189.55117647058796,47569.0,8
9,25.0,53830.0,2688.0,0.0,0.0,1041.24,1170.09,0.0,0.0,898.0,461.0,122.35,0.0,2421.68,1660.0,1670.0,2825.0,0,503.0,353.0,49885.0,0,0.08823529411764705,541.0,3369.0,0.0,215.0,0,0,0,252.0,0,0,0,0,-256.61176470588543,48036.0,9
10,34.64,55677.0,2645.0,0.0,0.0,1038.83,1041.77,0.0,0.0,780.0,164.0,0.35,0.0,2417.3,1763.0,1589.0,2825.0,0,1067.0,352.0,50895.0,0,0.11764705882352941,568.0,3467.0,0.0,215.0,0,0,0,252.0,0,0,0,0,-135.93235294117767,49302.0,10
11,41.03,57722.0,2506.0,0.0,0.0,1088.53,1194.23,0.0,0.0,609.0,48.0,0.0,0.0,2399.66,1864.0,1602.0,2843.0,0,1456.0,352.0,51689.0,0,0.14705882352941177,932.0,3429.0,0.0,216.0,0,0,0,250.0,0,0,0,0,-96.7529411764699,50985.0,11
12,48.97,60387.0,1448.0,0.0,60.0,1178.96,1089.64,0.0,0.0,510.0,0.0,0.0,0.0,2338.5,2013.0,1725.0,2830.0,0,1628.0,353.0,52526.0,0,0.1764705882352941,1393.0,3409.0,0.0,216.0,0,0,0,251.0,0,0,0,0,-36.72352941177087,53374.0,12
13,41.06,60029.0,1685.0,0.0,276.0,1402.29,892.43,0.0,0.0,184.0,0.0,0.0,0.0,2435.2,2013.0,1971.0,2807.0,0,1747.0,352.0,52413.0,0,0.20588235294117646,835.0,3223.0,0.0,215.0,0,0,0,250.0,0,0,0,0,37.72588235294097,52838.0,13
14,37.95,57977.0,2573.0,0.0,0.0,1199.26,663.81,0.0,0.0,747.0,143.0,0.0,0.0,2365.0,2013.0,2096.0,2824.0,0,1474.0,353.0,52719.0,0,0.23529411764705882,820.0,3132.0,0.0,216.0,0,0,0,250.0,0,0,0,0,-70.69470588235708,51025.0,14
15,33.42,56719.0,2632.0,0.0,0.0,1192.45,557.33,0.0,0.0,888.0,207.0,0.0,0.0,2388.27,2013.0,2108.0,2838.0,0,904.0,352.0,52859.0,0,0.2647058823529412,386.0,3113.0,0.0,215.0,0,0,0,251.0,0,0,0,0,-71.22529411765572,50343.0,15
16,39.8,56642.0,2758.0,0.0,0.0,1148.67,644.02,0.0,0.0,870.0,179.0,0.03,0.0,2406.56,2014.0,2104.0,2821.0,0,324.0,352.0,53311.0,0,0.29411764705882354,541.0,3081.0,0.0,215.0,0,0,0,252.0,0,0,0,0,-75.60588235294563,50881.0,16
17,44.29,59439.0,1457.0,0.0,51.0,839.38,279.05,0.0,0.0,984.0,0.0,0.01,0.0,1823.51,2014.0,2185.0,2750.0,0,107.0,352.0,54453.0,0,0.3235294117647059,688.0,3468.0,0.0,215.0,0,0,0,251.0,0,0,0,0,-78.76647058823437,53428.0,17
18,62.65,62690.0,0.0,0.0,0.0,568.92,219.87,0.0,0.0,1218.0,147.0,35.15,0.0,2673.27,2015.0,2444.0,3101.0,0,0.0,353.0,55312.0,0,0.3529411764705882,1251.0,4287.0,614.0,215.0,0,0,0,252.0,0,0,0,0,-160.27705882352893,55707.0,18
