,Price,Demand,Demand_pump_storage,Imported_FR,Imported_BE,Imported_IE,Imported_NL,Exported_FR,Exported_BE,Exported_IE,Exported_NL,Wind Onshore,Fossil Gas,Other,Solar,Biomass,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Hydro Water Reservoir,Hydro Run-of-river and poundage,Hydro Pumped Storage,Fossil Oil,Other renewable,Fossil Coal-derived gas,Geothermal,Waste,Fossil Peat,Marine,Fossil Oil shale,Wind Offshore,Balance,Residual_Demand,hour
1,60.12,27831.5,0,1567.0,0.01,0.0,196.58,0.0,0.0,243.25,0.0,6201.75,6034.185,64.0,0.0,1051.5,6899.0,0,63.48,0,404.0,52.5,0.0,0,0,0,0,0,0,0,3197.8,-2342.9449999999997,18027.95,1
2,55.76,27634.0,0,1517.0,0.02,0.0,606.9,0.0,0.0,299.73,0.0,6095.185,5785.395,63.0,0.0,1023.5,6830.5,0,63.895,0,373.5,0.0,0.0,0,0,0,0,0,0,0,3277.275,-2297.5599999999977,17888.039999999997,2
3,46.23,25184.5,0,1518.0,0.01,0.0,688.76,0.0,0.0,479.68,0.0,5736.825000000002,5136.6,63.0,0.0,1018.5,6826.0,0,65.065,0,349.0,0.0,0.0,0,0,0,0,0,0,0,3158.01,-1104.4099999999962,15940.664999999999,3
4,44.1,22708.5,0,1413.0,0.01,0.0,296.57,0.0,0.0,529.86,0.0,5356.59,5123.43,64.0,0.0,1014.5,6818.0,0,65.33,0,324.5,0.0,0.0,0,0,0,0,0,0,0,2984.63,222.20000000000073,14042.779999999999,4
5,44.41,21614.5,0,967.0,0.01,0.0,331.65,0.0,0.0,529.95,0.0,4944.94,4966.145,64.0,0.0,1011.0,6790.5,0,66.06,0,399.5,0.0,0.0,0,0,0,0,0,0,0,2974.6800000000007,371.03499999999985,13295.380000000001,5
6,46.03,21526.5,0,565.0,0.01,0.0,399.56,0.0,0.0,529.97,0.0,4685.31,5278.145,64.0,0.0,1014.0,6760.0,0,64.94,0,438.5,0.0,0.0,0,0,0,0,0,0,0,2937.100000000001,150.09500000000116,13465.589999999998,6
7,51.0,22639.0,0,519.0,0.01,0.0,432.99,0.0,0.0,530.0,0.0,4307.690000000001,6191.865,63.5,0.0,1416.0,6735.0,0,64.78999999999999,0,445.5,0.0,0.0,0,0,0,0,0,0,0,3015.275,22.62000000000262,14870.534999999998,7
8,39.0,25025.5,0,1657.0,0.01,0.0,0.97,0.0,0.0,521.95,0.0,4045.28,6656.415,71.5,0.0,1045.5,6707.0,0,64.7,0,436.0,171.5,0.0,0,0,0,0,0,0,0,2957.325,-1734.25,17586.895,8
9,44.17,26697.5,0,1660.0,0.01,0.0,181.78,0.0,0.0,365.28,0.0,3795.98,7535.77,64.5,55.0,1019.5,6680.0,0,64.625,0,474.0,93.5,0.0,0,0,0,0,0,0,0,2722.825,-2715.2899999999972,19649.695,9
10,51.3,29909.0,0,1763.0,0.01,0.0,781.85,0.0,0.0,376.52,0.0,3418.615,9746.155,65.0,523.0,1074.5,6657.0,0,58.31999999999999,0,520.5,204.5,0.0,0,0,0,0,0,0,0,2467.255,-3005.8149999999987,22979.63,10
11,57.94,33019.5,0,1864.0,0.02,0.0,886.39,0.0,0.0,270.39,0.0,3298.585,11548.605,72.0,1320.0,1281.0,6634.5,0,140.15,0,516.5,250.5,0.0,0,0,0,0,0,0,0,2257.79,-3219.8499999999985,25626.625,11
12,54.09,35217.5,0,2013.0,0.01,0.0,1009.41,0.0,0.0,476.22,0.0,3293.4,12994.74,65.0,2000.0,1318.0,6512.0,0,399.02,0,505.0,164.0,0.0,0,0,0,0,0,0,0,2273.75,-3146.3899999999994,27145.35,12
13,57.95,36269.5,0,2013.0,0.01,0.0,1024.62,0.0,0.0,529.84,0.0,3045.0950000000007,14107.46,65.5,1945.0,1251.0,6472.5,0,451.07,0,515.5,183.0,0.0,0,0,0,0,0,0,0,2512.11,-3213.4749999999913,28251.795,13
14,65.85,36207.5,0,2013.0,0.01,0.0,1024.83,0.0,0.0,529.84,0.0,3061.89,15123.445,66.0,1385.0,1116.0,6432.5,0,612.67,0,546.5,313.5,0.0,0,0,0,0,0,0,0,2225.03,-2816.9649999999965,28989.08,14
15,70.0,35961.5,0,2013.0,0.01,0.0,1024.6,0.0,0.0,529.96,0.0,3013.035,15583.515,67.0,723.5,1017.0,6429.5,0,578.865,0,523.5,312.0,0.0,0,0,0,0,0,0,0,2202.575,-3003.3600000000006,29498.889999999996,15
16,48.9,36393.5,0,2014.0,0.01,0.0,912.82,0.0,0.0,529.98,0.0,2888.075,16090.28,65.5,142.0,1231.0,6432.0,0,900.975,0,544.5,176.5,0.0,0,0,0,0,0,0,0,2346.48,-3179.340000000004,30472.445000000003,16
17,69.93,39330.5,0,2014.0,0.01,0.0,847.75,0.0,0.0,529.92,0.0,2544.32,17694.894999999997,68.0,1.0,1419.5,6428.0,0,2028.665,0,743.5,383.0,0.0,0,0,0,0,0,0,0,2332.9,-3354.8800000000047,33708.78,17
18,84.84,41257.5,0,2015.0,0.01,0.0,1084.15,0.0,0.0,529.97,0.0,2391.41,18328.535,77.0,0.5,1376.0,6423.5,0,2775.140000000001,0,950.0,1020.5,0.0,0,0,0,0,0,0,0,2425.045,-2920.6800000000003,35490.545,18
