,Price,Demand,Demand_pump_storage,Imported_GR,Imported_MT,Imported_CH,Imported_FR,Imported_SI,Imported_AT,Exported_GR,Exported_MT,Exported_CH,Exported_FR,Exported_SI,Exported_AT,Wind Onshore,Fossil Gas,Other,Solar,Biomass,Nuclear,Fossil Brown coal/Lignite,Fossil Hard coal,Hydro Water Reservoir,Hydro Run-of-river and poundage,Hydro Pumped Storage,Fossil Oil,Other renewable,Fossil Coal-derived gas,Geothermal,Waste,Fossil Peat,Marine,Fossil Oil shale,Wind Offshore,Balance,Residual_Demand,hour
1,46.27,22850.0,72.0,0.0,0.0,1162.0,0.0,723.66,152.0,307.0,69.0,0.0,256.0,18.69,0.0,5088.0,7614.0,3092.0,0.0,501.0,0,0,2090.0,145.0,1708.0,0.0,8.0,0,775.0,673.0,41.0,0,0,0,0,199.97000000000116,16013.0,1
2,39.78,21600.0,138.0,0.0,0.0,931.0,0.0,697.4,144.0,224.0,55.0,0.0,505.0,45.45,0.0,5086.0,7090.0,2859.0,0.0,499.0,0,0,2177.0,164.0,1613.0,0.0,8.0,0,773.0,673.0,36.0,0,0,0,0,182.95000000000073,14865.0,2
3,27.87,20255.0,306.0,0.0,0.0,1303.0,0.0,643.36,173.0,219.0,50.0,0.0,167.0,3.32,0.0,5131.0,6032.0,2452.0,0.0,503.0,0,0,1827.0,126.0,1481.0,0.0,8.0,0,774.0,672.0,41.0,0,0,0,0,166.04000000000087,13602.0,3
4,22.0,19459.0,529.0,0.0,0.0,1225.0,0.0,619.43,162.0,219.0,51.0,0.0,298.0,0.0,0.0,5235.0,5795.0,2376.0,0.0,509.0,0,0,1714.0,124.0,1475.0,0.0,8.0,0,774.0,674.0,38.0,0,0,0,0,172.4300000000003,12711.0,4
5,20.0,19503.0,884.0,0.0,0.0,1338.0,0.0,685.18,166.0,226.0,62.0,0.0,338.0,0.0,0.0,4950.0,6175.0,2545.0,0.0,509.0,0,0,1712.0,116.0,1485.0,0.0,8.0,0,774.0,674.0,34.0,0,0,0,0,158.1800000000003,13034.0,5
6,20.9,20380.0,817.0,0.0,0.0,1856.0,0.0,905.46,173.0,181.0,77.0,0.0,88.0,0.0,0.0,4741.0,5995.0,2746.0,0.0,509.0,0,0,1717.0,134.0,1439.0,0.0,8.0,0,775.0,674.0,35.0,0,0,0,0,164.45999999999913,14165.0,6
7,26.54,20833.0,483.0,0.0,0.0,2180.0,183.0,1081.13,182.0,234.0,87.0,0.0,0.0,0.0,0.0,4418.0,5869.0,2468.0,44.0,507.0,0,0,1713.0,109.0,1570.0,0.0,8.0,0,774.0,673.0,37.0,0,0,0,0,179.13000000000102,14764.0,7
8,25.0,21199.0,878.0,0.0,0.0,2431.0,520.0,1002.89,160.0,328.0,97.0,0.0,0.0,0.0,0.0,4210.0,5174.0,2283.0,1052.0,519.0,0,0,1706.0,272.0,1877.0,0.0,8.0,0,775.0,672.0,33.0,0,0,0,0,192.88999999999942,14027.0,8
9,25.0,22341.0,1281.0,0.0,0.0,2623.0,898.0,820.56,160.0,389.0,112.0,0.0,0.0,0.0,0.0,3656.0,5209.0,2169.0,2840.0,513.0,0,0,1725.0,257.0,2030.0,0.0,8.0,0,774.0,673.0,34.0,0,0,0,0,266.5599999999977,13781.0,9
10,34.64,23695.0,930.0,0.0,0.0,2417.0,780.0,611.67,152.0,452.0,107.0,0.0,0.0,0.16,0.0,3262.0,5172.0,2108.0,4601.0,517.0,0,0,1777.0,259.0,2028.0,170.0,8.0,0,774.0,673.0,37.0,0,0,0,0,162.5099999999984,13767.0,10
11,41.03,24547.0,321.0,0.0,0.0,2129.0,609.0,608.87,148.0,504.0,101.0,0.0,0.0,20.38,0.0,3477.0,5134.0,2188.0,5270.0,522.0,0,0,1726.0,253.0,1771.0,244.0,8.0,0,769.0,673.0,34.0,0,0,0,0,70.48999999999796,13995.0,11
12,48.97,25172.0,262.0,0.0,0.0,1548.0,510.0,597.22,147.0,505.0,84.0,0.0,0.0,0.02,0.0,3892.0,5507.0,2459.0,5453.0,527.0,0,0,1739.0,149.0,1804.0,244.0,8.0,0,770.0,670.0,40.0,0,0,0,0,41.20000000000073,13983.0,12
13,41.06,23970.0,143.0,0.0,0.0,1317.0,184.0,718.8,169.0,505.0,76.0,0.0,0.0,0.0,0.0,3460.0,5802.0,2374.0,4925.0,529.0,0,0,1729.0,178.0,1726.0,198.0,8.0,0,768.0,669.0,40.0,0,0,0,0,100.79999999999927,13819.0,13
14,37.95,23088.0,537.0,0.0,0.0,2213.0,747.0,993.92,181.0,504.0,85.0,0.0,0.0,0.0,0.0,3213.0,5530.0,2234.0,3427.0,520.0,0,0,1819.0,150.0,1651.0,162.0,8.0,0,763.0,667.0,39.0,0,0,0,0,103.91999999999825,14758.0,14
15,53.59,23557.0,0.0,0.0,0.0,2819.0,888.0,788.57,174.0,412.0,108.0,0.0,0.0,0.0,0.0,3308.0,5941.0,2588.0,1788.0,524.0,0,0,1766.0,208.0,1723.0,341.0,8.0,0,761.0,668.0,36.0,0,0,0,0,252.5699999999997,16702.0,15
16,58.65,24975.0,0.0,0.0,0.0,2767.0,870.0,551.77,162.0,331.0,124.0,0.0,0.0,15.92,0.0,3468.0,7689.0,2853.0,225.0,517.0,0,0,1773.0,421.0,2603.0,232.0,19.0,0,761.0,669.0,37.0,0,0,0,0,171.85000000000218,18642.0,16
17,64.64,28519.0,0.0,35.0,0.0,2738.0,984.0,625.82,190.0,0.0,160.0,0.0,0.0,0.0,0.0,3078.0,8901.0,2989.0,1.0,524.0,0,0,1765.0,888.0,3637.0,976.0,58.0,0,766.0,671.0,36.0,0,0,0,0,183.8199999999997,21767.0,17
18,65.0,29748.0,1.0,96.0,0.0,2772.0,1218.0,552.57,175.0,0.0,171.0,0.0,0.0,0.0,0.0,3058.0,9253.0,3018.0,0.0,522.0,0,0,1767.0,675.0,4131.0,1310.0,67.0,0,777.0,673.0,37.0,0,0,0,0,181.5699999999997,22522.0,18
19,65.56,30466.0,1.0,114.0,0.0,2871.0,1099.0,699.31,188.0,0.0,174.0,0.0,0.0,0.0,0.0,3124.0,9440.0,3019.0,0.0,520.0,0,0,1754.0,906.0,4321.0,1215.0,67.0,0,771.0,671.0,39.0,0,0,0,0,177.3100000000013,22982.0,19
20,64.23,29874.0,1.0,87.0,0.0,2992.0,1042.0,765.33,178.0,0.0,162.0,0.0,0.0,0.0,0.0,3091.0,9757.0,2886.0,0.0,520.0,0,0,1804.0,1122.0,3217.0,1217.0,67.0,0,776.0,669.0,39.0,0,0,0,0,192.33000000000175,23527.0,20
21,61.72,28568.0,1.0,0.0,0.0,3027.0,1128.0,862.22,166.0,172.0,142.0,0.0,0.0,0.0,0.0,2923.0,10024.0,2877.0,0.0,506.0,0,0,1820.0,708.0,2627.0,863.0,67.0,0,778.0,669.0,39.0,0,0,0,0,201.22000000000116,22979.0,21
22,58.65,26561.0,1.0,0.0,0.0,2965.0,1012.0,768.65,148.0,284.0,117.0,0.0,0.0,9.87,0.0,2674.0,10282.0,2769.0,0.0,496.0,0,0,1768.0,458.0,2283.0,3.0,67.0,0,777.0,669.0,37.0,0,0,0,0,203.78000000000247,21567.0,22
23,54.91,23904.0,3.0,97.0,0.0,2522.0,605.0,887.05,159.0,0.0,96.0,0.0,0.0,0.0,0.0,2362.0,8930.0,2644.0,0.0,510.0,0,0,1751.0,189.0,1994.0,0.0,66.0,0,774.0,668.0,38.0,0,0,0,0,193.04999999999927,19510.0,23
24,53.11,21649.0,30.0,269.0,0.0,2423.0,674.0,999.54,163.0,0.0,73.0,0.0,0.0,0.0,0.0,2202.0,6995.0,2701.0,0.0,516.0,0,0,1753.0,122.0,1596.0,0.0,66.0,0,0.0,666.0,40.0,0,0,0,0,-566.4599999999991,17811.0,24
25,45.87,20077.0,270.0,271.0,0.0,2204.0,904.0,977.56,167.0,0.0,61.0,0.0,0.0,0.0,0.0,2255.0,6029.0,2490.0,0.0,517.0,0,0,1724.0,99.0,1425.0,0.0,67.0,0,0.0,667.0,38.0,0,0,0,0,-573.4400000000023,16359.0,25
26,39.15,19300.0,737.0,330.0,0.0,2228.0,1094.0,933.46,138.0,0.0,53.0,0.0,0.0,0.0,0.0,2412.0,5478.0,2407.0,0.0,521.0,0,0,1712.0,98.0,1368.0,0.0,67.0,0,0.0,666.0,41.0,0,0,0,0,-596.5400000000009,15479.0,26
27,36.0,18942.0,1425.0,302.0,0.0,2359.0,1234.0,1027.04,141.0,0.0,52.0,0.0,0.0,0.0,0.0,2719.0,5341.0,2281.0,0.0,522.0,0,0,1689.0,98.0,1340.0,0.0,67.0,0,0.0,666.0,37.0,0,0,0,0,-595.9599999999991,14846.0,27
28,39.0,19286.0,1808.0,110.0,0.0,2418.0,1241.0,1053.05,159.0,0.0,55.0,0.0,0.0,0.0,0.0,3179.0,5611.0,2302.0,0.0,521.0,0,0,1690.0,98.0,1391.0,0.0,67.0,0,0.0,666.0,36.0,0,0,0,0,-606.9500000000007,14680.0,28
29,39.0,20993.0,1853.0,0.0,0.0,2881.0,1428.0,1055.9,179.0,56.0,73.0,0.0,0.0,0.0,0.0,3248.0,6472.0,2572.0,0.0,518.0,0,0,1742.0,118.0,1392.0,0.0,66.0,0,0.0,667.0,38.0,0,0,0,0,-598.0999999999985,16315.0,29
30,53.1,24833.0,772.0,0.0,0.0,3643.0,1798.0,963.22,183.0,183.0,97.0,0.0,0.0,0.0,0.0,2904.0,8099.0,2999.0,0.0,519.0,0,0,1835.0,142.0,1429.0,0.0,67.0,0,0.0,667.0,38.0,0,0,0,0,-598.7799999999988,20462.0,30
31,65.41,29443.0,12.0,0.0,0.0,3529.0,1508.0,987.51,174.0,278.0,107.0,0.0,0.0,0.0,0.0,2654.0,10713.0,3391.0,53.0,503.0,0,0,2402.0,522.0,2046.0,0.0,66.0,0,0.0,667.0,37.0,0,0,0,0,-587.489999999998,24653.0,31
32,70.0,33463.0,1.0,0.0,0.0,3571.0,1350.0,1044.27,186.0,305.0,107.0,0.0,0.0,0.0,0.0,2131.0,11743.0,3452.0,739.0,503.0,0,0,2577.0,810.0,2797.0,1610.0,66.0,0,0.0,666.0,37.0,0,0,0,0,-593.7299999999959,27759.0,32
33,69.19,35891.0,1.0,0.0,0.0,3344.0,1442.0,995.09,163.0,285.0,136.0,0.0,0.0,0.0,0.0,1777.0,13043.0,3485.0,2284.0,505.0,0,0,2661.0,753.0,2987.0,1519.0,67.0,0,0.0,664.0,37.0,0,0,0,0,-586.9100000000035,28806.0,33
34,65.64,36056.0,1.0,0.0,0.0,3326.0,1613.0,910.16,146.0,307.0,144.0,0.0,0.0,0.0,0.0,1735.0,13377.0,3458.0,3273.0,492.0,0,0,2789.0,755.0,2814.0,453.0,69.0,0,0.0,665.0,37.0,0,0,0,0,-595.8399999999965,28197.0,34
35,64.0,36123.0,1.0,0.0,0.0,3232.0,1626.0,826.12,145.0,337.0,133.0,0.0,0.0,0.0,0.0,1718.0,13739.0,3387.0,3921.0,510.0,0,0,2779.0,700.0,2600.0,31.0,74.0,0,0.0,667.0,39.0,0,0,0,0,-599.8800000000047,27845.0,35
36,62.8,35866.0,2.0,0.0,0.0,2369.0,1230.0,565.25,142.0,333.0,140.0,0.0,0.0,0.0,0.0,2110.0,13927.0,3476.0,5048.0,514.0,0,0,2694.0,688.0,2190.0,0.0,67.0,0,0.0,667.0,41.0,0,0,0,0,-612.75,26477.0,36
37,58.65,35037.0,2.0,0.0,0.0,2709.0,1373.0,617.34,155.0,303.0,145.0,0.0,0.0,0.0,0.0,3380.0,12364.0,3167.0,5033.0,522.0,0,0,2477.0,331.0,1969.0,0.0,67.0,0,0.0,667.0,41.0,0,0,0,0,-614.6600000000035,24614.0,37
38,59.84,35263.0,2.0,0.0,0.0,3156.0,1626.0,811.49,186.0,389.0,134.0,0.0,0.0,0.0,0.0,4997.0,11538.0,3164.0,3738.0,522.0,0,0,2422.0,330.0,1913.0,0.0,67.0,0,0.0,659.0,39.0,0,0,0,0,-619.510000000002,24576.0,38
39,65.0,35690.0,1.0,0.0,0.0,3318.0,1749.0,955.68,186.0,390.0,137.0,0.0,0.0,0.0,0.0,5294.0,12393.0,3486.0,1500.0,521.0,0,0,2583.0,669.0,2193.0,1.0,83.0,0,0.0,661.0,40.0,0,0,0,0,-585.3199999999997,26663.0,39
